key,score,repeat,average
standing,324.4,38,8.536842105263156
palitos,9.6,1,9.6
agave,74.4,10,7.44
jerks,15.2,2,7.6
bahia,8.1,1,8.1
reclamamos,9.3,1,9.3
denmark,8.4,1,8.4
specific,69.3,8,8.6625
impatient,58.3,7,8.328571428571427
weeeeeoooo,9.1,1,9.1
square,1996.4,240,8.318333333333333
cheeses,329.7,38,8.676315789473684
laughter,9.4,1,9.4
bathrooms,309.3,37,8.35945945945946
smell,155.3,18,8.627777777777778
li,43.4,5,8.68
anderer,54.4,6,9.066666666666666
ash,9.4,1,9.4
biscoff,53.9,6,8.983333333333333
