unigram,score
afraid,9.157142857142858
ido,9.4
creal,9.1
shorten,8.8
refill,8.764285714285714
playfully,8.2
kawahara,9.4
tempura,8.7551724137931
majestic,9.2
soothe,9.2
snicker,9.1
ridonculous,7.8
dress,8.438709677419354
keimo,8.7
lox,8.075
inefficient,8.1
spanich,8.1
move,8.483333333333334
model,8.5
possible,9.142857142857142
hummus,8.435294117647057
edgy,9.4
sprinkle,8.9
bellinus,9.05
parma,9.1
inanilmaz,9.4
luz,9.0
sweaty,6.9
goldfish,8.7
nicole,9.0
real,8.659090909090908
multus,9.1
definitely,8.795121951219512
visitan,9.0
bumpin,8.3
sampler,8.809999999999999
pretentious,8.900000000000002
important,8.866666666666667
warm,8.596721311475411
mutlaka,8.1
dedicate,8.25
piloncillo,8.2
airhead,6.8
squish,8.2
pool,8.56
positive,8.64
apple,8.767441860465118
jaw,9.0
disney,8.233333333333333
velkahuolien,9.1
meyer,8.2
festivus,8.7
consumerism,7.2
comida,8.816666666666668
wolf,9.4
calamari,8.444444444444445
milkshake,8.991666666666676
birdbath,9.2
vert,9.0
saudade,8.0
class,8.636363636363637
sour,8.74047619047619
purity,9.0
kecuali,9.0
natural,8.966666666666667
shanghaus,8.9
sketchy,8.3
easily,8.454999999999998
unus,8.775000000000002
encantan,9.2
beginning,7.95
sunset,9.4
push,9.075
ruggelach,7.2
dark,8.949999999999996
recetas,9.0
extrapolate,9.1
playground,9.4
preserve,9.4
speck,8.899999999999999
boldness,7.2
glib,6.9
byom,9.2
together,8.804347826086957
cheery,8.9
cocoron,8.7
cheng,8.0
rueben,6.5
hold,8.578571428571427
watching,7.2
hooked,9.033333333333333
believe,8.985000000000001
nuff,8.936363636363636
torus,8.8
corridor,9.3
porn,8.722222222222221
dive,7.355555555555556
one,9.088038806336792
serving,8.6
non,8.350000000000001
raz,9.1
caramelly,9.2
faster,8.26
wholesale,8.8
kofererhof,9.1
korilla,8.6
pretty,8.49785407725322
window,7.953846153846152
infatuation,9.350000000000001
satisfaction,9.1
argo,7.5
hippy,9.2
brittle,9.0
teramisio,8.1
rubber,8.5
anjali,9.1
ranch,7.4625
vanessa,8.0
coco,9.1
tamarind,8.700000000000001
overhype,8.7
alus,9.0
bra,6.8
uniquely,9.1
tocino,7.3
unisex,8.766666666666667
hotel,9.1
bizarro,8.8
stringed,9.1
olga,9.2
chiba,9.4
eat,9.108120737560101
chikalicious,9.222222222222223
grande,7.3999999999999995
amazeball,9.15
pre,8.5
orecchiette,9.0
contents,8.0
closer,8.65
yout,6.6
prosecco,8.85
amazzzzzz,7.5
hormone,9.0
embrace,8.9
barebones,8.9
buffer,9.2
quinto,9.1
obsess,8.48
pan,8.316
honey,8.64727272727273
insulin,9.0
fookin,9.1
flaming,8.0
scowl,8.25
kinda,8.605555555555554
example,8.649999999999999
stylish,8.1
document,8.25
light,8.701492537313438
squares,8.3
soooo,8.622222222222222
stellar,8.9
eikofuji,9.4
ojan,6.8
wiggly,9.4
kalbi,9.16875
mets,8.1
timescritic,9.4
low,8.510526315789473
buttermilk,8.875
maderas,9.0
plum,8.728571428571428
hibiscus,7.9071428571428575
deeelicious,9.2
fatelvis,7.8
front,8.467346938775508
editorial,9.1
elusive,9.1
revelry,8.8
